seed,held_out_class,threshold,unknown_detection_rate,known_retention_rate,balanced_rate
0,Tor-SS,0.5,0.0,0.996875,0.4984375
0,Tor-SS,0.55,0.05,0.9921875,0.52109375
0,Tor-SS,0.6,0.11875,0.9859375,0.55234375
0,Tor-SS,0.65,0.24375,0.98125,0.6124999999999999
0,Tor-SS,0.7,0.38125,0.9734375,0.6773437499999999
0,Tor-SS,0.75,0.4875,0.9640625,0.72578125
0,Tor-SS,0.8,0.5875,0.9453125,0.76640625
0,Tor-SS,0.85,0.725,0.9296875,0.82734375
0,Tor-SS,0.8999999999999999,0.8,0.9140625,0.85703125
0,Tor-SS,0.95,0.86875,0.8953125,0.88203125
0,Tor-Trojan,0.5,0.03125,0.996875,0.5140625
0,Tor-Trojan,0.55,0.0875,0.9921875,0.53984375
0,Tor-Trojan,0.6,0.14375,0.9859375,0.56484375
0,Tor-Trojan,0.65,0.2875,0.975,0.63125
0,Tor-Trojan,0.7,0.3375,0.965625,0.6515625
0,Tor-Trojan,0.75,0.4125,0.9515625,0.68203125
0,Tor-Trojan,0.8,0.59375,0.9296875,0.76171875
0,Tor-Trojan,0.85,0.8125,0.915625,0.8640625
0,Tor-Trojan,0.8999999999999999,0.875,0.89375,0.884375
0,Tor-Trojan,0.95,0.95,0.8609375,0.90546875
0,Tor-Vmess,0.5,0.2,0.9984375,0.59921875
0,Tor-Vmess,0.55,0.35,0.9875,0.66875
0,Tor-Vmess,0.6,0.475,0.9796875,0.72734375
0,Tor-Vmess,0.65,0.55625,0.9703125,0.76328125
0,Tor-Vmess,0.7,0.63125,0.9671875,0.79921875
0,Tor-Vmess,0.75,0.73125,0.959375,0.8453124999999999
0,Tor-Vmess,0.8,0.775,0.9296875,0.85234375
0,Tor-Vmess,0.85,0.79375,0.9234375,0.85859375
0,Tor-Vmess,0.8999999999999999,0.8375,0.9,0.86875
0,Tor-Vmess,0.95,0.90625,0.8703125,0.88828125
