variant,accuracy_mean,accuracy_std,precision_mean,recall_mean,macro_f1_mean,macro_f1_std,runtime_mean
Hard Hierarchy,0.9475,,0.949102958475158,0.9475000000000001,0.9478447145511151,,2.9251070411410183
JA4Tor-H,0.94875,,0.9502363568725279,0.9487500000000001,0.9490142606287767,,2.9251070411410183
JA4Tor-G,0.94875,,0.9503213114046023,0.9487500000000001,0.9490128673315825,,2.9251070411410183
JA4Tor-DPF,0.94875,,0.9503213114046023,0.9487500000000001,0.9490128673315825,,2.9251070411410183
Logistic Regression,0.88875,,0.8994845009201091,0.8887499999999999,0.8899819393909058,,0.24236211809329689
ExtraTrees,0.94125,,0.942295449091396,0.9412499999999999,0.9414987254369167,,0.8884036340750754
HistGradientBoosting,0.9425,,0.9434734179245184,0.9425000000000001,0.9426717950691182,,1.6136559138540179
