stage,feature,jsd_score
NonTor / Tor-family,Init_Win_bytes_backward,0.7825371636731028
NonTor / Tor-family,server_latency,0.6448000561145085
NonTor / Tor-family,Fwd Packet Length Std,0.5704861757175782
NonTor / Tor-family,Bwd Packet Length Max,0.5623980661389079
NonTor / Tor-family,Bwd Packet Length Std,0.5579710616227123
NonTor / Tor-family,Average Packet Size,0.5528272082239326
NonTor / Tor-family,Fwd Packet Length Max,0.48421726013145705
NonTor / Tor-family,Fwd Packet Length Mean,0.4695980370362709
NonTor / Tor-family,Avg Fwd Segment Size,0.4695980370362709
NonTor / Tor-family,Bwd Packet Length Mean,0.45941773614730136
NonTor / Tor-family,Avg Bwd Segment Size,0.45941773614730136
NonTor / Tor-family,SYN Flag Count,0.44112806352070155
NonTor / Tor-family,Idle Min,0.416565257923874
NonTor / Tor-family,Idle Max,0.4158317401490649
NonTor / Tor-family,tls_server_ptype,0.409565555702956
NonTor / Tor-family,tls_server_version,0.409565555702956
NonTor / Tor-family,tls_server_alpn_info,0.409565555702956
NonTor / Tor-family,tls_server_cipher_val,0.4095655557028999
NonTor / Tor-family,Fwd IAT Total,0.4052640076874254
NonTor / Tor-family,Flow Duration,0.40324156819921975
NonTor / Tor-family,Idle Mean,0.4022503485031797
NonTor / Tor-family,Flow IAT Max,0.3947337680475975
NonTor / Tor-family,Fwd IAT Max,0.39227221801572043
NonTor / Tor-family,Down/Up Ratio,0.3835441390626096
NonTor / Tor-family,Flow IAT Mean,0.35621245263824663
NonTor / Tor-family,Flow IAT Std,0.35233446608382246
NonTor / Tor-family,Fwd IAT Mean,0.3452746465368152
NonTor / Tor-family,Init_Win_bytes_forward,0.3443853045922379
NonTor / Tor-family,Bwd IAT Total,0.3424795278791003
NonTor / Tor-family,Fwd IAT Std,0.33539359673879676
NonTor / Tor-family,Flow Packets/s,0.32251654590110634
NonTor / Tor-family,Idle Std,0.31774761702266024
NonTor / Tor-family,Bwd Packet Length Min,0.3155806380256446
NonTor / Tor-family,Packet Length Variance,0.302733417952375
NonTor / Tor-family,Active Max,0.30049929827827204
NonTor / Tor-family,FIN Flag Count,0.2979195913101249
NonTor / Tor-family,Active Std,0.2926759669368597
NonTor / Tor-family,Bwd IAT Max,0.290612364534679
NonTor / Tor-family,RST Flag Count,0.27874586657438655
NonTor / Tor-family,Bwd IAT Std,0.266041078472314
NonTor / Tor-family,Total Length of Fwd Packets,0.2631807741660271
NonTor / Tor-family,Fwd IAT Min,0.2528290631426609
NonTor / Tor-family,Flow IAT Min,0.24765815947771838
NonTor / Tor-family,Active Mean,0.24191592444050827
NonTor / Tor-family,PSH Flag Count,0.23322203330912092
NonTor / Tor-family,Bwd IAT Mean,0.22559880308786834
NonTor / Tor-family,Total Fwd Packets,0.2243802341256349
NonTor / Tor-family,Total Length of Bwd Packets,0.21524045152154042
NonTor / Tor-family,ACK Flag Count,0.20744184613018238
NonTor / Tor-family,Total Bwd Packets,0.184659481990995
NonTor / Tor-family,Active Min,0.17055243977889448
NonTor / Tor-family,Bwd IAT Min,0.14235584246494343
NonTor / Tor-family,Flow Bytes/s,0.13598783609250265
