variant,accuracy_mean,accuracy_std,precision_mean,recall_mean,macro_f1_mean,macro_f1_std,runtime_mean
Hard Hierarchy,0.937125,0.0025034698142999885,0.9376077017245386,0.937125,0.9372761067869233,0.0025067176653914267,2.8690694804070516
JA4Tor-H,0.936125,0.0020791624916457617,0.9363480155308903,0.936125,0.936141496087242,0.002073831140664866,2.8690694804070516
JA4Tor-G,0.93775,0.00174801474695025,0.9377670116131078,0.93775,0.9376531142363916,0.0017424883755627883,2.8690694804070516
JA4Tor-DPF,0.93775,0.00174801474695025,0.9377670116131078,0.93775,0.9376531142363916,0.0017424883755627883,2.8690694804070516
Logistic Regression,0.865,0.0,0.8816378728862793,0.865,0.8683189949524903,0.0,0.18358443775214256
ExtraTrees,0.9266249999999999,0.0018680426476216376,0.9279386997216712,0.9266249999999999,0.9269342114005872,0.0018737880026016742,0.8646584445843473
HistGradientBoosting,0.9399999999999998,0.0,0.9396473139348032,0.9400000000000001,0.9397554916527471,0.0,1.6818378636846318
