seed,held_out_class,threshold,unknown_detection_rate,known_retention_rate,balanced_rate
2,Tor-Vmess,0.85,0.83125,0.8953125,0.86328125
2,Tor-Vmess,0.8999999999999999,0.8625,0.8828125,0.87265625
2,Tor-Vmess,0.95,0.9375,0.8234375,0.88046875
3,Tor-SS,0.5,0.025,0.996875,0.5109374999999999
3,Tor-SS,0.55,0.14375,0.990625,0.5671875
3,Tor-SS,0.6,0.24375,0.971875,0.6078125
3,Tor-SS,0.65,0.31875,0.9625,0.640625
3,Tor-SS,0.7,0.40625,0.9484375,0.67734375
3,Tor-SS,0.75,0.5125,0.9421875,0.72734375
3,Tor-SS,0.8,0.65625,0.9375,0.796875
3,Tor-SS,0.85,0.75,0.921875,0.8359375
3,Tor-SS,0.8999999999999999,0.8125,0.896875,0.8546875
3,Tor-SS,0.95,0.8875,0.8625,0.875
3,Tor-Trojan,0.5,0.275,0.9953125,0.6351562500000001
3,Tor-Trojan,0.55,0.30625,0.9765625,0.64140625
3,Tor-Trojan,0.6,0.43125,0.9609375,0.69609375
3,Tor-Trojan,0.65,0.56875,0.94375,0.75625
3,Tor-Trojan,0.7,0.60625,0.93125,0.76875
3,Tor-Trojan,0.75,0.69375,0.925,0.809375
3,Tor-Trojan,0.8,0.71875,0.9109375,0.81484375
3,Tor-Trojan,0.85,0.7625,0.8875,0.825
3,Tor-Trojan,0.8999999999999999,0.8375,0.86875,0.853125
3,Tor-Trojan,0.95,0.925,0.8265625,0.87578125
3,Tor-Vmess,0.5,0.275,0.9984375,0.63671875
3,Tor-Vmess,0.55,0.29375,0.9875,0.640625
3,Tor-Vmess,0.6,0.40625,0.975,0.690625
3,Tor-Vmess,0.65,0.53125,0.9625,0.746875
3,Tor-Vmess,0.7,0.64375,0.946875,0.7953125000000001
3,Tor-Vmess,0.75,0.76875,0.9375,0.853125
3,Tor-Vmess,0.8,0.81875,0.91875,0.8687499999999999
3,Tor-Vmess,0.85,0.83125,0.9015625,0.86640625
3,Tor-Vmess,0.8999999999999999,0.8625,0.8796875,0.87109375
3,Tor-Vmess,0.95,0.9625,0.83125,0.8968750000000001
4,Tor-SS,0.5,0.025,0.996875,0.5109374999999999
4,Tor-SS,0.55,0.125,0.9875,0.55625
4,Tor-SS,0.6,0.21875,0.9765625,0.59765625
4,Tor-SS,0.65,0.30625,0.9609375,0.63359375
4,Tor-SS,0.7,0.39375,0.9484375,0.67109375
4,Tor-SS,0.75,0.4875,0.9453125,0.71640625
4,Tor-SS,0.8,0.6625,0.9390625,0.80078125
4,Tor-SS,0.85,0.74375,0.9234375,0.83359375
4,Tor-SS,0.8999999999999999,0.79375,0.9015625,0.84765625
4,Tor-SS,0.95,0.88125,0.85625,0.8687499999999999
4,Tor-Trojan,0.5,0.23125,0.9921875,0.61171875
4,Tor-Trojan,0.55,0.2875,0.9765625,0.63203125
4,Tor-Trojan,0.6,0.33125,0.9625,0.646875
4,Tor-Trojan,0.65,0.54375,0.94375,0.7437499999999999
4,Tor-Trojan,0.7,0.60625,0.9328125,0.76953125
4,Tor-Trojan,0.75,0.7,0.9203125,0.8101562499999999
4,Tor-Trojan,0.8,0.71875,0.9078125,0.81328125
4,Tor-Trojan,0.85,0.7625,0.8890625,0.8257812499999999
4,Tor-Trojan,0.8999999999999999,0.81875,0.8609375,0.83984375
4,Tor-Trojan,0.95,0.9125,0.8203125,0.86640625
4,Tor-Vmess,0.5,0.28125,0.9984375,0.63984375
4,Tor-Vmess,0.55,0.325,0.9859375,0.65546875
4,Tor-Vmess,0.6,0.44375,0.9734375,0.7085937499999999
4,Tor-Vmess,0.65,0.55625,0.959375,0.7578125
4,Tor-Vmess,0.7,0.63125,0.9453125,0.78828125
4,Tor-Vmess,0.75,0.71875,0.9359375,0.82734375
4,Tor-Vmess,0.8,0.8,0.91875,0.859375
4,Tor-Vmess,0.85,0.8375,0.903125,0.8703125
4,Tor-Vmess,0.8999999999999999,0.86875,0.8765625,0.87265625
4,Tor-Vmess,0.95,0.90625,0.8359375,0.87109375
