stage,feature,jsd_score
NonTor / Tor-family,Init_Win_bytes_backward,0.7889279726479738
NonTor / Tor-family,server_latency,0.6021065304741188
NonTor / Tor-family,Bwd Packet Length Std,0.5711658137068181
NonTor / Tor-family,Bwd Packet Length Max,0.5688655442339334
NonTor / Tor-family,Fwd Packet Length Std,0.5600571001609094
NonTor / Tor-family,Average Packet Size,0.5342172454942373
NonTor / Tor-family,Fwd Packet Length Max,0.49377760433052786
NonTor / Tor-family,Bwd Packet Length Mean,0.47505678737771817
NonTor / Tor-family,Avg Bwd Segment Size,0.47505678737771817
NonTor / Tor-family,SYN Flag Count,0.453840231990323
NonTor / Tor-family,Fwd IAT Max,0.43404768891105017
NonTor / Tor-family,Flow IAT Max,0.43125529051595257
NonTor / Tor-family,Fwd Packet Length Mean,0.43088107270398784
NonTor / Tor-family,Avg Fwd Segment Size,0.43088107270398784
NonTor / Tor-family,tls_server_ptype,0.4208453297860922
NonTor / Tor-family,tls_server_version,0.4208453297860922
NonTor / Tor-family,tls_server_alpn_info,0.4208453297860922
NonTor / Tor-family,tls_server_cipher_val,0.42084532978603717
NonTor / Tor-family,Idle Max,0.415554863930565
NonTor / Tor-family,Fwd IAT Total,0.4127300468037225
NonTor / Tor-family,Flow Duration,0.41214276546982814
NonTor / Tor-family,Idle Min,0.40486509732449444
NonTor / Tor-family,Idle Mean,0.3908622097695374
NonTor / Tor-family,Down/Up Ratio,0.3865697901027516
NonTor / Tor-family,Flow IAT Mean,0.363490325871946
NonTor / Tor-family,Bwd IAT Total,0.3553871323129561
NonTor / Tor-family,Fwd IAT Mean,0.3543410780583132
NonTor / Tor-family,Flow IAT Std,0.3477201531817761
NonTor / Tor-family,Fwd IAT Std,0.347522414906716
NonTor / Tor-family,Init_Win_bytes_forward,0.3455739650537839
NonTor / Tor-family,Bwd IAT Max,0.3424693437471659
NonTor / Tor-family,Idle Std,0.33631878483047356
NonTor / Tor-family,Flow Packets/s,0.3307145225544171
NonTor / Tor-family,FIN Flag Count,0.3259341816230159
NonTor / Tor-family,Bwd Packet Length Min,0.31399176677633706
NonTor / Tor-family,Packet Length Variance,0.31133319076415583
NonTor / Tor-family,Active Max,0.2853160683993204
NonTor / Tor-family,Active Std,0.2817224442773844
NonTor / Tor-family,RST Flag Count,0.27996928322306236
NonTor / Tor-family,Bwd IAT Std,0.26796380114083795
NonTor / Tor-family,Fwd IAT Min,0.2594988367568649
NonTor / Tor-family,Total Length of Fwd Packets,0.25737317160677453
NonTor / Tor-family,Flow IAT Min,0.25648267464994684
NonTor / Tor-family,Active Mean,0.2390537120002859
NonTor / Tor-family,Bwd IAT Mean,0.2359669194022871
NonTor / Tor-family,PSH Flag Count,0.2333054860301905
NonTor / Tor-family,Total Fwd Packets,0.21724114115361545
NonTor / Tor-family,Total Length of Bwd Packets,0.20033483661838775
NonTor / Tor-family,ACK Flag Count,0.1785465636087886
NonTor / Tor-family,Total Bwd Packets,0.17158791986082442
NonTor / Tor-family,Active Min,0.1686609808694487
NonTor / Tor-family,Bwd IAT Min,0.16252709028449863
NonTor / Tor-family,Flow Bytes/s,0.13285039504686644
NonTor / Tor-family,tls_client_ptype,0.11233605601190277
NonTor / Tor-family,tls_client_version,0.11233605601190277
NonTor / Tor-family,tls_client_sni_presence,0.11233605601190277
NonTor / Tor-family,tls_client_cipher_count,0.11233605601190277
NonTor / Tor-family,tls_client_alpn_info,0.11233605601190277
NonTor / Tor-family,http_req_version,0.10466345035703324
NonTor / Tor-family,http_req_has_cookie,0.10466345035703324
NonTor / Tor-family,http_req_has_referer,0.10466345035703324
NonTor / Tor-family,http_req_has_lang,0.10466345035703324
NonTor / Tor-family,Fwd Packet Length Min,0.10061870983482314
NonTor / Tor-family,client_latency,0.04740590872540029
NonTor / Tor-family,http_method,0.0
NonTor / Tor-family,http_path_len,0.0
NonTor / Tor-family,http_req_method_short,0.0
NonTor / Tor-family,http_req_header_count,0.0
NonTor / Tor-family,tls_client_extension_count,0.0
NonTor / Tor-family,tls_server_extension_count,0.0
Tor / Tor-over-proxy,Down/Up Ratio,0.7697728550573585
Tor / Tor-over-proxy,Bwd Packet Length Min,0.6699739958277151
Tor / Tor-over-proxy,Init_Win_bytes_backward,0.6330825308268726
Tor / Tor-over-proxy,SYN Flag Count,0.6185014155077604
Tor / Tor-over-proxy,Flow IAT Mean,0.6065125335728248
Tor / Tor-over-proxy,Fwd IAT Max,0.5940323612320769
Tor / Tor-over-proxy,Fwd IAT Min,0.59127907242301
Tor / Tor-over-proxy,Flow IAT Min,0.5907156824334436
Tor / Tor-over-proxy,Fwd IAT Mean,0.5905376987612809
Tor / Tor-over-proxy,Idle Max,0.562731568594785
Tor / Tor-over-proxy,Flow IAT Max,0.5587021099013367
Tor / Tor-over-proxy,Fwd IAT Total,0.5417435499885718
Tor / Tor-over-proxy,RST Flag Count,0.5179495693116852
Tor / Tor-over-proxy,Bwd IAT Max,0.5005891124516834
Tor / Tor-over-proxy,Flow Duration,0.49978434594301463
Tor / Tor-over-proxy,Idle Min,0.4993081081235498
Tor / Tor-over-proxy,Average Packet Size,0.4908079361871985
Tor / Tor-over-proxy,Idle Mean,0.4907142380124448
Tor / Tor-over-proxy,Fwd IAT Std,0.48383256293175597
Tor / Tor-over-proxy,Fwd Packet Length Max,0.4624995044689861
Tor / Tor-over-proxy,Idle Std,0.46230067953423193
Tor / Tor-over-proxy,Fwd Packet Length Std,0.4598616169110171
Tor / Tor-over-proxy,Flow IAT Std,0.45576929977225145
Tor / Tor-over-proxy,Fwd Packet Length Mean,0.4442579147065066
Tor / Tor-over-proxy,Avg Fwd Segment Size,0.4442579147065066
Tor / Tor-over-proxy,FIN Flag Count,0.4358063539859933
Tor / Tor-over-proxy,Bwd IAT Total,0.42426665388954915
Tor / Tor-over-proxy,Bwd IAT Mean,0.41651877518923824
Tor / Tor-over-proxy,Bwd Packet Length Max,0.39067726024355465
