seed,held_out_class,threshold,unknown_detection_rate,known_retention_rate,balanced_rate
0,Tor-SS,0.5,0.0125,0.996875,0.5046875
0,Tor-SS,0.55,0.1,0.9875,0.5437500000000001
0,Tor-SS,0.6,0.25625,0.9765625,0.61640625
0,Tor-SS,0.65,0.30625,0.9640625,0.6351562500000001
0,Tor-SS,0.7,0.4,0.9578125,0.67890625
0,Tor-SS,0.75,0.50625,0.946875,0.7265625
0,Tor-SS,0.8,0.6,0.9421875,0.7710937499999999
0,Tor-SS,0.85,0.66875,0.9328125,0.80078125
0,Tor-SS,0.8999999999999999,0.71875,0.91875,0.81875
0,Tor-SS,0.95,0.825,0.8796875,0.85234375
0,Tor-Trojan,0.5,0.175,0.9921875,0.58359375
0,Tor-Trojan,0.55,0.2625,0.978125,0.6203125
0,Tor-Trojan,0.6,0.30625,0.96875,0.6375
0,Tor-Trojan,0.65,0.33125,0.959375,0.6453125
0,Tor-Trojan,0.7,0.425,0.94375,0.684375
0,Tor-Trojan,0.75,0.65,0.9171875,0.7835937500000001
0,Tor-Trojan,0.8,0.725,0.90625,0.815625
0,Tor-Trojan,0.85,0.78125,0.884375,0.8328125
0,Tor-Trojan,0.8999999999999999,0.825,0.85625,0.840625
0,Tor-Trojan,0.95,0.88125,0.8203125,0.85078125
0,Tor-Vmess,0.5,0.16875,0.99375,0.58125
0,Tor-Vmess,0.55,0.3,0.9796875,0.63984375
0,Tor-Vmess,0.6,0.46875,0.9671875,0.71796875
0,Tor-Vmess,0.65,0.61875,0.95,0.784375
0,Tor-Vmess,0.7,0.65625,0.940625,0.7984375
0,Tor-Vmess,0.75,0.7375,0.925,0.83125
0,Tor-Vmess,0.8,0.8125,0.915625,0.8640625
0,Tor-Vmess,0.85,0.81875,0.9046875,0.86171875
0,Tor-Vmess,0.8999999999999999,0.84375,0.878125,0.8609375
0,Tor-Vmess,0.95,0.8875,0.8375,0.8625
