variant,accuracy_mean,accuracy_std,precision_mean,recall_mean,macro_f1_mean,macro_f1_std,runtime_mean
Hard Hierarchy,0.93125,,0.9318033593669537,0.93125,0.9314168646140745,,2.9548073611222208
JA4Tor-H,0.93,,0.9302915217025646,0.93,0.9300484268245167,,2.9548073611222208
JA4Tor-G,0.92875,,0.9291655001330044,0.92875,0.9288211391611079,,2.9548073611222208
JA4Tor-DPF,0.92875,,0.9291655001330044,0.92875,0.9288211391611079,,2.9548073611222208
Logistic Regression,0.87125,,0.8861979597463469,0.8712499999999999,0.8713483917064085,,0.15677912021055818
ExtraTrees,0.92875,,0.9296846318530729,0.92875,0.9287716542647416,,0.9104890290182084
HistGradientBoosting,0.9325,,0.9330743678335336,0.9324999999999999,0.9325760759168942,,2.222054174169898
