seed,held_out_class,threshold,unknown_detection_rate,known_retention_rate,balanced_rate
0,Tor-SS,0.5,0.0125,0.9984375,0.50546875
0,Tor-SS,0.55,0.05625,0.996875,0.5265624999999999
0,Tor-SS,0.6,0.13125,0.996875,0.5640625
0,Tor-SS,0.65,0.1875,0.99375,0.590625
0,Tor-SS,0.7,0.24375,0.9875,0.615625
0,Tor-SS,0.75,0.3625,0.9671875,0.66484375
0,Tor-SS,0.8,0.45625,0.9578125,0.70703125
0,Tor-SS,0.85,0.6,0.94375,0.771875
0,Tor-SS,0.8999999999999999,0.74375,0.9203125,0.83203125
0,Tor-SS,0.95,0.85625,0.896875,0.8765624999999999
0,Tor-Trojan,0.5,0.2875,0.9984375,0.64296875
0,Tor-Trojan,0.55,0.35625,0.9828125,0.66953125
0,Tor-Trojan,0.6,0.54375,0.9671875,0.7554687499999999
0,Tor-Trojan,0.65,0.61875,0.953125,0.7859375
0,Tor-Trojan,0.7,0.675,0.9421875,0.80859375
0,Tor-Trojan,0.75,0.71875,0.928125,0.8234375
0,Tor-Trojan,0.8,0.74375,0.915625,0.8296875
0,Tor-Trojan,0.85,0.80625,0.89375,0.8500000000000001
0,Tor-Trojan,0.8999999999999999,0.88125,0.871875,0.8765624999999999
0,Tor-Trojan,0.95,0.95625,0.8515625,0.90390625
0,Tor-Vmess,0.5,0.1875,0.996875,0.5921875
0,Tor-Vmess,0.55,0.3375,0.9890625,0.66328125
0,Tor-Vmess,0.6,0.4375,0.978125,0.7078125
0,Tor-Vmess,0.65,0.55,0.9765625,0.76328125
0,Tor-Vmess,0.7,0.63125,0.965625,0.7984374999999999
0,Tor-Vmess,0.75,0.75625,0.9578125,0.8570312499999999
0,Tor-Vmess,0.8,0.80625,0.9390625,0.87265625
0,Tor-Vmess,0.85,0.85,0.9296875,0.88984375
0,Tor-Vmess,0.8999999999999999,0.88125,0.8953125,0.8882812499999999
0,Tor-Vmess,0.95,0.91875,0.840625,0.8796875
