variant,accuracy_mean,accuracy_std,precision_mean,recall_mean,macro_f1_mean,macro_f1_std,runtime_mean
Hard Hierarchy,0.95375,,0.9541613386359458,0.9537500000000001,0.9538574700248066,,2.8563841090071946
JA4Tor-H,0.9525,,0.9526325495863418,0.9525,0.9524940494206996,,2.8563841090071946
JA4Tor-G,0.9525,,0.9526994735930094,0.9525,0.9525461073124106,,2.8563841090071946
JA4Tor-DPF,0.9525,,0.9526994735930094,0.9525,0.9525461073124106,,2.8563841090071946
Logistic Regression,0.89375,,0.9028889189418285,0.89375,0.8945914315173434,,0.1746111959218979
ExtraTrees,0.94,,0.9423429025990189,0.9400000000000001,0.9404171447372172,,0.8992569160182029
HistGradientBoosting,0.9525,,0.9524918452454685,0.9525,0.95245467631397,,1.6297847870737314
