variant,seed,fusion_weight,training_seconds,inference_ms_per_flow,input_features,hierarchy_features,accuracy,precision_macro,recall_macro,f1_macro
Global-FULL,4,,1.794770312961191,0.056945687625557184,70,64,0.9518,0.9523580834205425,0.9517999999999999,0.9519017841027878
DPF-FULL,4,1.0,1.794770312961191,0.056945687625557184,70,64,0.9518,0.9523580834205425,0.9517999999999999,0.9519017841027878
HardHierarchy-FULL,4,,1.794770312961191,0.056945687625557184,70,64,0.9386,0.9392088994623776,0.9385999999999999,0.9387785390086968
Hierarchical-FULL,4,,1.5939676898997277,0.06335725616663694,70,70,0.9382,0.9387584013346144,0.9381999999999999,0.9383425378458832
Global-FULL,4,,1.5939676898997277,0.06335725616663694,70,70,0.9518,0.9523580834205425,0.9517999999999999,0.9519017841027878
DPF-FULL-NoJSD,4,1.0,1.5939676898997277,0.06335725616663694,70,70,0.9518,0.9523580834205425,0.9517999999999999,0.9519017841027878
HardHierarchy-FULL,4,,1.5939676898997277,0.06335725616663694,70,70,0.9376,0.938335080114833,0.9376,0.9378178420265633
Hierarchical-PT,4,,1.7422296160366386,0.06535421200096607,51,51,0.9412,0.941671408332797,0.9411999999999999,0.941310947323285
Global-PT,4,,1.7422296160366386,0.06535421200096607,51,51,0.9524,0.9530200455713317,0.9524000000000001,0.9525025641475023
DPF-PT,4,1.0,1.7422296160366386,0.06535421200096607,51,51,0.9524,0.9530200455713317,0.9524000000000001,0.9525025641475023
HardHierarchy-PT,4,,1.7422296160366386,0.06535421200096607,51,51,0.9412,0.941757629896492,0.9411999999999999,0.9413525697442893
Hierarchical-AS,4,,2.0322408399078995,0.06940696798264981,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Global-AS,4,,2.0322408399078995,0.06940696798264981,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
DPF-AS,4,0.0,2.0322408399078995,0.06940696798264981,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
HardHierarchy-AS,4,,2.0322408399078995,0.06940696798264981,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Hierarchical-FULL,5,,1.8205658190418035,0.06443581441417337,70,64,0.94,0.9404645930854008,0.9400000000000001,0.9401143988917223
Global-FULL,5,,1.8205658190418035,0.06443581441417337,70,64,0.951,0.9518540664655563,0.951,0.9511356552275657
DPF-FULL,5,0.5,1.8205658190418035,0.06443581441417337,70,64,0.9486,0.9492674795430005,0.9486000000000001,0.9487244016332488
HardHierarchy-FULL,5,,1.8205658190418035,0.06443581441417337,70,64,0.9404,0.9410201664353469,0.9404,0.9405766759568273
Hierarchical-FULL,5,,1.6372269198764116,0.06169083318673074,70,70,0.94,0.9405504020526797,0.9400000000000001,0.9401268055075791
