stage,feature,jsd_score
NonTor / Tor-family,Init_Win_bytes_backward,0.7993800045624867
NonTor / Tor-family,server_latency,0.6384085615347688
NonTor / Tor-family,Bwd Packet Length Max,0.5695860783421486
NonTor / Tor-family,Average Packet Size,0.567451197020228
NonTor / Tor-family,Fwd Packet Length Std,0.5635597524172662
NonTor / Tor-family,Bwd Packet Length Std,0.5591609953314199
NonTor / Tor-family,Fwd Packet Length Max,0.509855202447873
NonTor / Tor-family,Fwd Packet Length Mean,0.47022887615849457
NonTor / Tor-family,Avg Fwd Segment Size,0.47022887615849457
NonTor / Tor-family,SYN Flag Count,0.4668957740636335
NonTor / Tor-family,Bwd Packet Length Mean,0.4521724922064925
NonTor / Tor-family,Avg Bwd Segment Size,0.4521724922064925
NonTor / Tor-family,tls_server_ptype,0.4067329405902889
NonTor / Tor-family,tls_server_version,0.4067329405902889
NonTor / Tor-family,tls_server_alpn_info,0.4067329405902889
NonTor / Tor-family,tls_server_cipher_val,0.40673294059023196
NonTor / Tor-family,Flow Duration,0.4014084675026927
NonTor / Tor-family,Fwd IAT Total,0.4009710195555608
NonTor / Tor-family,Idle Max,0.40017948956824034
NonTor / Tor-family,Down/Up Ratio,0.3990183589926365
NonTor / Tor-family,Idle Min,0.3914344831927921
NonTor / Tor-family,Fwd IAT Max,0.3884762683598754
NonTor / Tor-family,Flow IAT Max,0.38789704255371815
NonTor / Tor-family,Idle Mean,0.37568017032483664
NonTor / Tor-family,Init_Win_bytes_forward,0.36248386323985976
NonTor / Tor-family,Flow IAT Mean,0.3614952302961175
NonTor / Tor-family,Fwd IAT Mean,0.3475250099409955
NonTor / Tor-family,Bwd IAT Total,0.34504890318979997
NonTor / Tor-family,Flow Packets/s,0.33559052959568136
NonTor / Tor-family,FIN Flag Count,0.32601447746473444
NonTor / Tor-family,Flow IAT Std,0.32533969902945087
NonTor / Tor-family,Fwd IAT Std,0.31284063322075345
NonTor / Tor-family,Bwd Packet Length Min,0.31180566780586416
NonTor / Tor-family,Bwd IAT Max,0.31025696116049256
