variant,accuracy_mean,accuracy_std,precision_mean,recall_mean,macro_f1_mean,macro_f1_std,runtime_mean
Hard Hierarchy,0.93,,0.9313546568276443,0.93,0.9303135524981153,,3.0072320429608226
JA4Tor-H,0.92875,,0.9299452909719494,0.9287500000000002,0.9290113746485827,,3.0072320429608226
JA4Tor-G,0.9375,,0.9386365518539431,0.9375,0.9377872086365221,,3.0072320429608226
JA4Tor-DPF,0.9375,,0.9386365518539431,0.9375,0.9377872086365221,,3.0072320429608226
Logistic Regression,0.8575,,0.872162225512336,0.8574999999999999,0.8609868317944919,,0.174969132989645
ExtraTrees,0.9225,,0.9229002546357691,0.9225,0.9224747467036891,,0.7885452650953084
HistGradientBoosting,0.9225,,0.923401311799906,0.9225,0.9228233996817476,,2.2473955538589507
