variant,accuracy_mean,accuracy_std,precision_mean,recall_mean,macro_f1_mean,macro_f1_std,runtime_mean
Hard Hierarchy,0.955,,0.9552974370555672,0.9550000000000001,0.9550743280314495,,2.8970740558579564
JA4Tor-H,0.9525,,0.9526658561705243,0.9525,0.9524966302305332,,2.8970740558579564
JA4Tor-G,0.95125,,0.9514764081990416,0.9512499999999999,0.9512773926529785,,2.8970740558579564
JA4Tor-DPF,0.95125,,0.9514764081990416,0.9512499999999999,0.9512773926529785,,2.8970740558579564
Logistic Regression,0.86875,,0.8942007068336236,0.86875,0.8706838267121906,,0.1669316201005131
ExtraTrees,0.9375,,0.9376172422183471,0.9375,0.9375176924500108,,0.8478254820220172
HistGradientBoosting,0.9475,,0.947828365625256,0.9475000000000001,0.9475189590831073,,2.29100479115732
