stage,feature,jsd_score
NonTor / Tor-family,Init_Win_bytes_backward,0.7921752866846435
NonTor / Tor-family,server_latency,0.6127600287437157
NonTor / Tor-family,Bwd Packet Length Max,0.5730194668408926
NonTor / Tor-family,Bwd Packet Length Std,0.5684565638755121
NonTor / Tor-family,Average Packet Size,0.5555258027647955
NonTor / Tor-family,Fwd Packet Length Std,0.5528959317253429
NonTor / Tor-family,Fwd Packet Length Max,0.49605757411358437
NonTor / Tor-family,Bwd Packet Length Mean,0.4681589912100984
NonTor / Tor-family,Avg Bwd Segment Size,0.4681589912100984
NonTor / Tor-family,SYN Flag Count,0.4503859361027524
NonTor / Tor-family,Fwd Packet Length Mean,0.4451802416834534
NonTor / Tor-family,Avg Fwd Segment Size,0.4451802416834534
NonTor / Tor-family,Idle Max,0.42436686778627586
NonTor / Tor-family,Idle Min,0.41780392541024153
NonTor / Tor-family,tls_server_ptype,0.409565555702956
NonTor / Tor-family,tls_server_version,0.409565555702956
NonTor / Tor-family,tls_server_alpn_info,0.409565555702956
NonTor / Tor-family,tls_server_cipher_val,0.4095655557028994
NonTor / Tor-family,Fwd IAT Total,0.40625670656285895
NonTor / Tor-family,Idle Mean,0.4020043377628305
NonTor / Tor-family,Flow Duration,0.4008250141999378
NonTor / Tor-family,Fwd IAT Max,0.3956103245587382
NonTor / Tor-family,Flow IAT Max,0.39471595992992137
NonTor / Tor-family,Down/Up Ratio,0.3773510904686168
NonTor / Tor-family,Flow IAT Mean,0.3563431590664202
NonTor / Tor-family,Fwd IAT Mean,0.34797895525380196
NonTor / Tor-family,Init_Win_bytes_forward,0.3432841456300802
NonTor / Tor-family,Bwd IAT Total,0.3422147705354284
NonTor / Tor-family,Flow IAT Std,0.3421475943434078
NonTor / Tor-family,Fwd IAT Std,0.33708784123964275
NonTor / Tor-family,Flow Packets/s,0.3298657289771913
NonTor / Tor-family,Bwd Packet Length Min,0.3166373242889296
NonTor / Tor-family,Idle Std,0.31274898524625283
NonTor / Tor-family,FIN Flag Count,0.30736670288725737
NonTor / Tor-family,Packet Length Variance,0.30678257308389195
NonTor / Tor-family,Active Max,0.3057935582744969
NonTor / Tor-family,Active Std,0.28483877883109493
NonTor / Tor-family,Bwd IAT Max,0.28198204321631654
NonTor / Tor-family,Total Length of Fwd Packets,0.26304324634566967
NonTor / Tor-family,Bwd IAT Std,0.2627396884822978
NonTor / Tor-family,Fwd IAT Min,0.2597990682718641
NonTor / Tor-family,Flow IAT Min,0.25648267464974533
NonTor / Tor-family,RST Flag Count,0.2561118778030112
NonTor / Tor-family,PSH Flag Count,0.24670996438645376
NonTor / Tor-family,Active Mean,0.24041661112984353
NonTor / Tor-family,Total Fwd Packets,0.22192696270597226
NonTor / Tor-family,Bwd IAT Mean,0.21764303363131904
NonTor / Tor-family,Total Length of Bwd Packets,0.21018087695282608
NonTor / Tor-family,ACK Flag Count,0.20206621589367038
NonTor / Tor-family,Total Bwd Packets,0.19142097802609043
NonTor / Tor-family,Active Min,0.16872914744046097
NonTor / Tor-family,Flow Bytes/s,0.1612716597812837
NonTor / Tor-family,Bwd IAT Min,0.15293877463416364
NonTor / Tor-family,Fwd Packet Length Min,0.10466345035500174
NonTor / Tor-family,tls_client_ptype,0.10198399925064712
NonTor / Tor-family,tls_client_version,0.10198399925064712
NonTor / Tor-family,tls_client_sni_presence,0.10198399925064712
NonTor / Tor-family,tls_client_cipher_count,0.10198399925064712
NonTor / Tor-family,tls_client_alpn_info,0.10198399925064712
NonTor / Tor-family,http_req_version,0.06998989639596451
NonTor / Tor-family,http_req_has_cookie,0.06998989639596451
NonTor / Tor-family,http_req_has_referer,0.06998989639596451
NonTor / Tor-family,http_req_has_lang,0.06998989639596451
NonTor / Tor-family,client_latency,0.061396644632726274
NonTor / Tor-family,http_method,0.0
NonTor / Tor-family,http_path_len,0.0
NonTor / Tor-family,http_req_method_short,0.0
NonTor / Tor-family,http_req_header_count,0.0
NonTor / Tor-family,tls_client_extension_count,0.0
NonTor / Tor-family,tls_server_extension_count,0.0
Tor / Tor-over-proxy,Down/Up Ratio,0.7749874765475758
Tor / Tor-over-proxy,Bwd Packet Length Min,0.6776102106324748
Tor / Tor-over-proxy,Init_Win_bytes_backward,0.6320617053048793
