seed,held_out_class,threshold,unknown_detection_rate,known_retention_rate,balanced_rate
0,Tor-SS,0.5,0.00625,0.9984375,0.50234375
0,Tor-SS,0.55,0.0625,0.9953125,0.52890625
0,Tor-SS,0.6,0.11875,0.990625,0.5546875
0,Tor-SS,0.65,0.175,0.9859375,0.58046875
0,Tor-SS,0.7,0.2625,0.9765625,0.61953125
0,Tor-SS,0.75,0.39375,0.9640625,0.67890625
0,Tor-SS,0.8,0.55625,0.9578125,0.75703125
0,Tor-SS,0.85,0.65,0.9375,0.79375
0,Tor-SS,0.8999999999999999,0.8,0.9125,0.85625
0,Tor-SS,0.95,0.8625,0.8828125,0.87265625
0,Tor-Trojan,0.5,0.2125,0.9953125,0.60390625
0,Tor-Trojan,0.55,0.29375,0.98125,0.6375
0,Tor-Trojan,0.6,0.4375,0.96875,0.703125
0,Tor-Trojan,0.65,0.575,0.9578125,0.76640625
0,Tor-Trojan,0.7,0.65,0.940625,0.7953125000000001
0,Tor-Trojan,0.75,0.71875,0.9265625,0.82265625
0,Tor-Trojan,0.8,0.75,0.9078125,0.82890625
0,Tor-Trojan,0.85,0.7625,0.9,0.83125
0,Tor-Trojan,0.8999999999999999,0.775,0.884375,0.8296875
0,Tor-Trojan,0.95,0.9125,0.8359375,0.87421875
0,Tor-Vmess,0.5,0.25,0.996875,0.6234375
0,Tor-Vmess,0.55,0.36875,0.9875,0.6781250000000001
0,Tor-Vmess,0.6,0.5,0.975,0.7375
0,Tor-Vmess,0.65,0.54375,0.9625,0.753125
0,Tor-Vmess,0.7,0.61875,0.946875,0.7828125
0,Tor-Vmess,0.75,0.73125,0.940625,0.8359375
0,Tor-Vmess,0.8,0.7875,0.9296875,0.85859375
0,Tor-Vmess,0.85,0.81875,0.9125,0.865625
0,Tor-Vmess,0.8999999999999999,0.8375,0.884375,0.8609375
0,Tor-Vmess,0.95,0.85625,0.853125,0.8546875
